source,target,length
315,348,9.48
316,316,2.83
316,323,4.24
316,340,5.0
318,318,4.0
318,319,10.12
320,346,7.89
320,354,10.26
321,322,6.4
321,347,4.41
322,326,8.16
322,376,17.6
323,328,8.06
323,349,5.0
325,334,17.44
325,346,4.47
326,356,12.24
326,402,11.1
327,339,6.89
328,361,7.32
332,339,13.06
332,356,6.24
334,345,15.1
334,374,16.07
334,393,11.39
335,354,6.36
335,355,4.65
338,341,18.31
338,365,8.06
338,350,11.08
339,364,20.68
339,384,8.85
340,340,2.0
340,349,4.24
341,377,9.21
341,387,6.58
341,378,6.48
341,366,24.45
342,342,2.0
342,357,11.41
342,367,6.24
344,353,5.0
344,345,5.83
346,374,7.48
346,375,6.06
347,355,9.41
347,376,12.54
348,398,16.42
349,361,6.06
349,398,11.66
350,361,6.32
350,399,12.16
350,365,13.43
353,362,7.41
354,375,10.23
354,371,6.47
354,394,7.16
355,371,5.24
356,384,7.66
356,395,5.61
357,358,16.66
357,357,11.66
357,379,10.41
357,367,8.8
357,429,24.97
357,410,10.68
358,358,2.0
358,368,4.0
361,361,4.47
362,400,8.48
364,396,18.49
364,421,11.89
364,482,18.01
364,364,23.41
364,512,20.1
364,464,25.7
365,377,4.41
366,378,12.4
366,367,5.0
368,388,11.22
368,385,6.24
371,411,10.65
371,405,5.83
372,403,14.09
372,372,2.83
372,430,10.71
372,389,13.64
374,417,9.06
374,401,6.4
375,401,5.24
376,376,6.32
376,402,13.62
376,411,10.23
376,443,9.71
376,455,15.57
377,408,7.0
378,387,4.24
378,409,6.0
379,410,10.31
379,388,6.41
381,381,8.0
381,435,10.4
381,446,11.49
381,486,15.85
381,390,21.6
381,403,18.01
384,396,5.16
384,412,9.3
385,406,9.23
385,389,7.29
387,413,6.0
388,406,12.81
388,410,8.55
388,453,12.22
389,440,13.29
389,430,8.07
390,390,4.47
390,391,10.04
391,391,16.49
391,392,13.31
391,446,11.95
391,458,7.89
391,475,14.43
392,392,4.47
393,417,10.66
393,437,16.99
394,401,11.82
394,405,5.0
395,402,8.83
395,412,8.37
396,427,7.83
398,398,4.47
398,423,7.58
399,423,11.81
399,399,4.0
399,451,9.65
399,428,13.47
399,478,12.65
400,400,4.0
401,401,4.47
402,418,5.0
403,431,10.23
403,435,8.18
404,404,5.89
404,424,8.81
404,433,7.24
405,411,7.65
406,440,11.13
406,456,8.4
408,408,2.0
408,428,7.26
409,413,4.41
409,429,10.3
410,453,12.9
412,418,12.47
412,444,9.24
412,445,7.24
412,481,12.19
413,439,5.0
415,420,8.58
415,415,2.0
415,461,10.99
417,438,7.89
417,437,5.24
418,455,9.85
418,444,5.61
420,420,5.66
420,425,5.16
420,467,10.65
421,427,4.24
421,477,15.29
423,451,7.65
424,424,4.47
424,459,7.07
425,447,4.47
425,434,9.65
427,445,6.24
428,452,7.65
429,429,4.0
429,465,15.89
429,497,11.83
430,441,3.83
431,441,7.58
431,457,5.24
433,442,3.41
433,459,6.06
434,442,3.65
434,447,6.48
435,457,8.4
435,474,6.24
437,438,6.65
438,449,10.06
439,452,6.24
439,465,14.03
440,441,12.09
440,479,10.12
440,504,12.48
441,473,11.25
442,460,4.0
443,443,4.0
443,494,8.99
444,480,9.24
445,463,5.24
446,458,5.83
447,466,5.89
447,498,16.96
449,449,4.0
449,494,25.13
451,478,8.89
452,465,23.46
453,472,14.61
453,456,7.58
453,483,6.83
453,508,7.4
453,509,8.64
455,455,6.32
455,495,8.41
456,484,9.41
457,473,10.26
458,487,7.48
459,460,6.0
459,488,5.06
460,466,4.83
461,467,8.99
461,468,7.0
461,522,12.07
461,499,6.12
462,469,10.4
462,462,12.17
462,505,9.28
462,560,12.21
462,470,14.24
463,477,8.07
463,490,3.65
464,482,6.84
464,491,5.06
465,497,13.36
465,586,19.49
466,511,9.71
467,498,8.1
468,489,5.24
468,469,15.3
469,489,4.47
470,500,12.34
470,505,7.41
472,483,5.0
472,497,5.99
473,504,8.26
473,514,11.12
473,528,7.12
474,514,9.81
474,485,7.12
475,510,6.65
475,488,8.41
477,477,8.94
477,506,8.39
477,549,14.91
478,513,6.89
479,484,8.3
479,520,8.85
479,532,7.47
480,481,7.24
480,495,3.0
480,480,4.0
480,536,10.67
481,490,5.0
481,518,6.89
482,512,7.85
483,507,6.16
484,509,5.61
484,532,9.19
