index,x,y,degree
723,275,188,3
724,313,188,3
725,337,190,6
726,344,190,4
728,445,189,4
729,108,189,3
730,145,191,5
732,387,190,3
733,396,189,3
734,223,192,5
735,310,192,3
736,229,191,3
737,255,192,3
738,262,192,4
739,300,191,3
741,127,197,6
742,135,193,3
743,159,194,6
745,332,192,4
746,402,194,4
747,174,194,3
748,354,194,4
749,363,196,4
750,251,195,3
751,275,195,3
752,298,195,4
753,345,197,7
754,396,196,4
755,150,195,3
756,201,196,3
757,290,195,3
758,336,196,4
759,390,195,3
760,171,196,3
761,196,196,3
762,278,196,4
763,356,198,5
765,146,197,3
766,211,197,3
767,228,199,3
768,242,197,3
769,324,198,3
772,299,200,3
773,332,198,3
774,180,200,3
775,279,200,3
777,350,199,3
778,252,200,3
780,288,202,4
781,339,202,4
783,172,202,3
784,195,202,3
785,275,202,3
786,464,203,3
787,146,203,3
788,203,203,3
789,211,204,4
791,266,203,3
792,318,204,4
793,344,205,5
794,350,203,3
795,389,202,3
797,166,205,4
798,236,203,4
800,293,203,3
801,335,203,3
802,360,207,4
804,157,204,3
805,234,204,3
806,237,213,8
807,270,204,4
808,353,205,4
809,393,204,3
811,188,208,4
812,250,206,5
813,282,208,4
814,327,206,5
815,373,206,3
816,216,206,3
818,275,209,5
819,292,206,3
820,390,206,4
821,160,208,3
822,140,210,5
823,194,210,5
824,201,209,3
825,233,209,3
827,168,210,3
829,222,210,4
830,262,212,7
831,310,210,4
832,347,209,3
833,218,210,3
834,317,211,3
835,297,212,3
836,301,212,3
839,252,212,3
840,325,213,5
841,245,214,3
842,331,214,3
843,337,214,3
844,196,215,3
845,211,220,7
846,249,214,3
847,272,217,6
848,294,215,3
849,361,217,5
850,155,215,3
851,224,216,3
852,302,217,4
854,202,218,5
855,262,217,3
856,242,218,3
857,192,224,6
858,287,222,5
859,298,219,3
860,174,222,3
861,242,221,3
862,251,221,4
863,259,222,4
864,354,221,4
865,306,223,3
868,201,226,5
871,225,230,7
872,278,226,4
873,297,226,4
875,323,227,3
876,240,227,3
877,282,227,3
878,210,229,3
879,236,228,3
880,289,229,3
882,242,229,3
883,196,230,3
884,202,231,3
885,261,232,4
886,293,230,3
887,254,232,3
889,241,234,4
890,286,234,4
892,310,233,3
